"Nom"	"Pays"	"Bicarbonates"	"Sulfates"	"Chlorures"	"Calcium"	"Magnesium"	"Sodium"
"Aix-les-Bains"	"F-73"	341	27	3	84	23	2
"Arvie" "F-63"	2195	31	387	170	92	650
"Badoit"    "F-42"	1300    40	40	190	85	150
"Beckerish"	"F-68"	263	23	9	91	5	3
"Cayranne"	"F-84"	287	3	5	44	24	23
"Chambon"	"F-45"	298	9	23	96	6	11
"Contrex"	"F-88"	403	1187	9	486	84	9
"Cristal-Roc"	"F-72"	200	15	8	70	2	4
"Saint-Cyr"	"F-45"	250	5	20	71	6	11
"Evian"	"F-74"	357	10	4	78	24	5
"Ferita"	"Italie"	311	14	18	73	18	13
"Hepar"	"F-88"	403	1479	10	555	110	14
"Saint-Hyppolite"	"F-37"	256	6	23	86	3	18
"Laurier"	"F-77"	186	10	16	64	4	9
"Ogeu"	"F-64"	183	16	44	48	11	21
"Ondine"	"F-95"	398	218	15	157	35	8
"Plancoet"	"F-22"	207	58	38	54	17	36
"Perrier"	"F-30"	348	51	31	140	4	14
"Ribes"		"Espagne"	168	24	8	55	5	9
"La_Salvetat"	"F-34"	820	25	4	253	11	7
"Sanpellegrino"	"Italie"	245	430 52  174 51  33	
"Spa"	"Belgique"	110	65	5	4	1	3
"Thonon"	"F-74"	332	14	8	103	16	5
"Valvert"	"F-08"	204	18	4   68	2	2	
"Veri"	"Espagne"	196	18	6	58	6	13
"Verniere"	"F-54"	1170	158	18	190	72	154
"Vichy_Celestin"	"F-03"	2989	138	235	103	10	1172
"Vichy_St-Yorre"	"F-03"	4368	174	322	90	11	1708
"Viladreau"	"Espagne"	59	7	6	16	2	9
"Vittel"	"F-88"	402	306	15	202	36	3
"Volvic"	"F-63"	65	6	8	10	6	9
