temps attente,effectif
"0","274327"
"1","172389"
"2","50709"
"3","27983"
"4","18600"
"5","13609"
"6","10387"
"7","8335"
"8","7069"
"9","6205"
"10","5569"
"11","5044"
"12","4625"
"13","4227"
"14","4014"
"15","4042"
"16","4138"
"17","4213"
"18","4236"
"19","4021"
"20","3783"
"21","3631"
"22","3567"
"23","3553"
"24","3323"
"25","2629"
"26","2257"
"27","1980"
"28","1660"
"29","1454"
"30","1225"
"31","1056"
"32","900"
"33","838"
"34","841"
"35","831"
"36","767"
"37","801"
"38","786"
"39","819"
"40","808"
"41","898"
"42","931"
"43","982"
"44","1023"
"45","1068"
"46","1070"
"47","1116"
"48","1159"
"49","1138"
"50","958"
"51","856"
"52","709"
"53","652"
"54","619"
"55","526"
"56","510"
"57","451"
"58","491"
"59","414"
"60","449"
"61","447"
"62","508"
"63","496"
"64","580"
"65","663"
"66","720"
"67","864"
"68","806"
"69","824"
"70","877"
"71","925"
"72","952"
"73","733"
"74","656"
"75","552"
"76","457"
"77","453"
"78","376"
"79","335"
"80","262"
"81","275"
"82","262"
"83","255"
"84","218"
"85","260"
"86","270"
"87","246"
"88","301"
"89","358"
"90","470"
"91","475"
"92","463"
"93","466"
"94","530"
"95","579"
"96","561"
"97","463"
"98","419"
"99","397"
"100","342"
"101","327"
"102","274"
"103","216"
"104","203"
"105","189"
"106","145"
"107","178"
"108","161"
"109","187"
"110","186"
"111","194"
"112","249"
"113","273"
"114","290"
"115","307"
"116","315"
"117","363"
"118","397"
"119","405"
"120","438"
"121","364"
"122","339"
"123","280"
"124","226"
"125","210"
"126","171"
"127","168"
"128","158"
"129","136"
"130","120"
"131","130"
"132","120"
"133","125"
"134","151"
"135","126"
"136","197"
"137","206"
"138","236"
"139","276"
"140","288"
"141","300"
"142","306"
"143","349"
"144","363"
"145","286"
"146","249"
"147","244"
"148","194"
"149","185"
"150","164"
"151","152"
"152","115"
"153","108"
"154","112"
"155","104"
"156","103"
"157","113"
"158","107"
"159","138"
"160","123"
"161","152"
"162","168"
"163","184"
"164","253"
"165","235"
"166","256"
"167","293"
"168","291"
"169","244"
"170","233"
"171","168"
"172","192"
"173","147"
"174","139"
"175","99"
"176","100"
"177","78"
"178","72"
"179","92"
"180","76"
"181","75"
"182","83"
"183","87"
"184","104"
"185","105"
"186","133"
"187","148"
"188","165"
"189","149"
"190","211"
"191","195"
"192","195"
"193","205"
"194","149"
"195","162"
"196","139"
"197","107"
"198","113"
"199","101"
"200","73"
"201","72"
"202","70"
"203","58"
"204","64"
"205","59"
"206","69"
"207","73"
"208","78"
"209","99"
"210","84"
"211","119"
"212","116"
"213","157"
"214","124"
"215","153"
"216","153"
"217","116"
"218","97"
"219","91"
"220","90"
"221","91"
"222","74"
"223","67"
"224","50"
"225","51"
"226","57"
"227","63"
"228","42"
"229","53"
"230","48"
"231","52"
"232","73"
"233","72"
"234","106"
"235","103"
"236","108"
"237","111"
"238","126"
"239","99"
"240","119"
"241","112"
"242","84"
"243","84"
"244","70"
"245","72"
"246","58"
"247","57"
"248","46"
"249","47"
"250","56"
"251","40"
"252","35"
"253","39"
"254","47"
"255","47"
"256","52"
"257","48"
"258","70"
"259","83"
"260","86"
"261","85"
"262","82"
"263","97"
"264","88"
"265","101"
"266","85"
"267","62"
"268","63"
"269","50"
"270","45"
"271","55"
"272","33"
"273","31"
"274","35"
"275","31"
"276","33"
"277","43"
"278","48"
"279","39"
"280","42"
"281","65"
"282","68"
"283","59"
"284","58"
"285","68"
"286","91"
"287","103"
"288","68"
"289","87"
"290","56"
"291","68"
"292","59"
"293","62"
"294","48"
"295","39"
"296","35"
"297","24"
"298","31"
"299","29"
"300","23"
"301","44"
"302","35"
"303","40"
"304","47"
"305","50"
"306","69"
"307","65"
"308","56"
"309","51"
"310","90"
"311","122"
"312","78"
"313","90"
"314","74"
"315","67"
"316","54"
"317","54"
"318","56"
"319","35"
"320","36"
"321","28"
"322","17"
"323","29"
"324","32"
"325","28"
"326","31"
"327","37"
"328","47"
"329","50"
"330","49"
"331","72"
"332","59"
"333","82"
"334","77"
"335","91"
"336","90"
"337","80"
"338","71"
"339","72"
"340","46"
"341","53"
"342","41"
"343","38"
"344","37"
"345","22"
"346","28"
"347","23"
"348","25"
"349","23"
"350","27"
"351","31"
"352","27"
"353","27"
"354","52"
"355","54"
"356","48"
"357","62"
"358","62"
"359","68"
"360","60"
"361","57"
"362","53"
"363","42"
"364","42"
"365","29"
"366","24"
"367","25"
"368","15"
"369","18"
"370","23"
"371","22"
"372","19"
"373","22"
"374","13"
"375","27"
"376","18"
"377","30"
"378","27"
"379","29"
"380","38"
"381","48"
"382","52"
"383","41"
"384","60"
"385","38"
"386","40"
"387","38"
"388","29"
"389","33"
"390","24"
"391","24"
"392","20"
"393","13"
"394","16"
"395","24"
"396","13"
"397","12"
"398","20"
"399","21"
"400","15"
"401","36"
"402","32"
"403","28"
"404","34"
"405","30"
"406","47"
"407","55"
"408","41"
"409","37"
"410","42"
"411","24"
"412","37"
"413","33"
"414","16"
"415","22"
"416","17"
"417","19"
"418","24"
"419","15"
"420","17"
"421","20"
"422","12"
"423","14"
"424","16"
"425","26"
"426","28"
"427","28"
"428","28"
"429","36"
"430","45"
"431","49"
